,возраст,профессия,семейное_положение,образование,кредит_дефолт,жилищный_кредит,кредит,взаимодействие,контакт_месяц,контакт_день_недели,контакт_количество,контакт_период,контакт_прошлый_количество,контакт_прошлый_исход,контакт_исход,Id
7763,36,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,7,пн,5,999,0,-,0,7763
7764,47,администриратор,разведен,высшее,0,1,0,домашний,5,пн,2,999,0,-,0,7764
7765,54,техник/механик,женат/замужем,специальное,0,1,0,мобильный,8,ср,10,999,0,-,0,7765
7766,42,предприниматель,женат/замужем,высшее,0,1,0,мобильный,5,пн,1,999,0,-,0,7766
7767,45,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,домашний,5,вт,2,999,0,-,0,7767
7768,57,администриратор,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,7,чт,2,999,0,-,0,7768
7769,50,менеджмент,женат/замужем,высшее,0,1,1,мобильный,11,вт,3,999,0,-,0,7769
7770,24,учащийся,не женат/не замужем,среднее,0,1,0,мобильный,5,ср,1,1,2,1,0,7770
7771,42,домохозяйка,женат/замужем,среднее,0,1,0,мобильный,8,чт,1,999,0,-,0,7771
7772,54,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,8,пн,4,999,0,-,0,7772
7773,40,администриратор,не женат/не замужем,среднее,0,1,0,домашний,5,ср,3,999,0,-,0,7773
7774,35,администриратор,не женат/не замужем,высшее,0,1,1,домашний,5,пт,1,999,0,-,0,7774
7775,29,техник/механик,не женат/не замужем,высшее,0,0,1,мобильный,11,вт,1,999,0,-,0,7775
7776,50,администриратор,женат/замужем,высшее,0,1,0,домашний,5,пт,4,999,0,-,0,7776
7777,35,администриратор,не женат/не замужем,среднее,0,0,1,мобильный,11,ср,2,7,2,0,0,7777
7778,28,администриратор,женат/замужем,среднее,0,0,1,домашний,6,пт,2,999,0,-,0,7778
7779,48,сфера услуг,женат/замужем,среднее,N/A,0,0,мобильный,8,вт,1,999,0,-,0,7779
7780,43,администриратор,женат/замужем,высшее,0,0,1,мобильный,8,ср,1,999,0,-,0,7780
7781,56,администриратор,женат/замужем,высшее,N/A,1,1,мобильный,8,ср,1,999,0,-,0,7781
7782,44,менеджмент,разведен,высшее,0,1,0,мобильный,4,вт,1,999,0,-,0,7782
7783,55,пенсионер,женат/замужем,среднее,0,1,0,мобильный,6,пт,3,3,1,1,0,7783
7784,33,техник/механик,женат/замужем,неоконченное среднее,0,1,0,мобильный,4,вт,2,999,0,-,0,7784
7785,36,техник/механик,женат/замужем,специальное,0,N/A,N/A,домашний,5,чт,2,999,0,-,0,7785
7786,26,учащийся,не женат/не замужем,высшее,N/A,1,0,мобильный,6,ср,2,999,0,-,0,7786
7787,54,администриратор,разведен,высшее,0,1,0,мобильный,11,чт,2,999,1,0,0,7787
7788,27,учащийся,не женат/не замужем,среднее,0,0,0,мобильный,7,вт,3,999,0,-,0,7788
7789,19,учащийся,не женат/не замужем,N/A,0,0,0,мобильный,8,чт,1,999,1,0,0,7789
7790,33,техник/механик,женат/замужем,неоконченное среднее,0,1,0,домашний,5,пн,1,999,0,-,0,7790
7791,49,самозанятый,женат/замужем,высшее,N/A,1,1,мобильный,11,пт,1,999,0,-,0,7791
7792,32,сфера услуг,женат/замужем,среднее,0,1,0,мобильный,7,пт,3,999,0,-,0,7792
7793,40,техник/механик,женат/замужем,неоконченное среднее,N/A,1,0,домашний,6,чт,2,999,0,-,0,7793
7794,32,рабочий,женат/замужем,неоконченное среднее,0,1,0,домашний,6,пт,6,999,0,-,0,7794
7795,54,администриратор,разведен,высшее,0,0,0,мобильный,8,пт,2,999,0,-,0,7795
7796,33,самозанятый,женат/замужем,высшее,0,1,0,мобильный,11,пт,2,999,0,-,0,7796
7797,44,администриратор,не женат/не замужем,высшее,N/A,1,0,домашний,6,пт,6,999,0,-,0,7797
7798,49,администриратор,женат/замужем,среднее,0,1,0,мобильный,4,вт,2,999,0,-,0,7798
7799,49,администриратор,женат/замужем,высшее,N/A,0,0,мобильный,8,вт,2,999,0,-,0,7799
7800,40,техник/механик,женат/замужем,неоконченное среднее,0,0,0,домашний,6,пт,4,999,0,-,0,7800
7801,36,техник/механик,женат/замужем,специальное,0,0,0,домашний,5,ср,10,999,0,-,0,7801
7802,30,администриратор,не женат/не замужем,среднее,0,1,0,мобильный,8,пт,3,999,0,-,0,7802
7803,49,рабочий,не женат/не замужем,среднее,0,1,0,мобильный,5,пн,3,999,0,-,0,7803
7804,41,техник/механик,разведен,специальное,0,1,0,мобильный,8,ср,1,999,0,-,0,7804
7805,36,самозанятый,женат/замужем,неоконченное среднее,N/A,1,1,мобильный,8,вт,2,999,0,-,1,7805
7806,55,безработный,женат/замужем,высшее,0,1,0,мобильный,11,вт,2,999,0,-,0,7806
7807,37,безработный,женат/замужем,специальное,0,1,0,мобильный,11,вт,2,999,0,-,0,7807
7808,30,рабочий,не женат/не замужем,N/A,0,0,0,домашний,6,вт,2,999,0,-,0,7808
7809,57,техник/механик,женат/замужем,неоконченное среднее,N/A,0,0,домашний,5,чт,1,999,0,-,0,7809
7810,24,рабочий,не женат/не замужем,среднее,0,0,0,мобильный,4,пн,2,999,1,0,0,7810
7811,37,предприниматель,женат/замужем,среднее,0,1,0,домашний,5,ср,4,999,0,-,0,7811
7812,39,администриратор,женат/замужем,высшее,0,0,0,мобильный,8,пт,4,999,0,-,0,7812
7813,32,сфера услуг,не женат/не замужем,высшее,0,0,0,мобильный,9,вт,3,999,2,0,0,7813
7814,46,техник/механик,женат/замужем,неоконченное среднее,N/A,1,0,домашний,5,пн,1,999,0,-,0,7814
7815,32,администриратор,женат/замужем,высшее,0,1,0,мобильный,8,пт,3,999,0,-,0,7815
7816,36,предприниматель,женат/замужем,высшее,0,0,0,мобильный,4,вт,2,999,0,-,0,7816
7817,27,администриратор,не женат/не замужем,высшее,0,1,1,мобильный,7,ср,1,999,0,-,0,7817
7818,33,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,7,вт,3,999,0,-,0,7818
7819,39,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,7,пн,2,999,0,-,0,7819
7820,50,администриратор,женат/замужем,высшее,0,1,0,мобильный,8,пн,3,999,0,-,0,7820
7821,49,рабочий,разведен,неоконченное среднее,N/A,1,0,мобильный,7,пн,3,999,0,-,0,7821
7822,30,техник/механик,не женат/не замужем,высшее,0,1,0,мобильный,5,пн,2,999,0,-,0,7822
7823,42,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,5,чт,6,999,0,-,0,7823
7824,35,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,5,пн,1,999,0,-,0,7824
7825,28,администриратор,женат/замужем,среднее,0,0,0,домашний,6,ср,3,999,0,-,0,7825
7826,34,рабочий,не женат/не замужем,неоконченное среднее,N/A,0,1,домашний,5,ср,2,999,0,-,0,7826
7827,43,техник/механик,женат/замужем,высшее,0,0,0,мобильный,8,вт,1,999,0,-,0,7827
7828,44,администриратор,женат/замужем,среднее,0,0,0,домашний,5,чт,2,999,0,-,0,7828
7829,35,администриратор,женат/замужем,специальное,0,1,0,мобильный,7,ср,1,999,0,-,0,7829
7830,51,администриратор,разведен,высшее,0,0,0,домашний,7,пн,1,999,0,-,0,7830
7831,26,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,5,пт,8,999,0,-,0,7831
7832,36,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,7,вт,5,999,0,-,0,7832
7833,37,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,5,ср,2,999,0,-,0,7833
7834,52,менеджмент,разведен,высшее,0,0,0,домашний,5,чт,1,999,0,-,0,7834
7835,37,предприниматель,не женат/не замужем,неоконченное среднее,N/A,1,0,мобильный,7,чт,3,999,0,-,0,7835
7836,35,рабочий,женат/замужем,неоконченное среднее,0,0,1,домашний,5,вт,1,999,0,-,0,7836
7837,59,администриратор,разведен,высшее,N/A,N/A,N/A,мобильный,5,чт,2,999,0,-,0,7837
7838,33,администриратор,женат/замужем,высшее,0,1,0,мобильный,5,пн,1,3,2,1,1,7838
7839,22,техник/механик,не женат/не замужем,N/A,0,1,0,мобильный,5,пн,5,999,0,-,0,7839
7840,36,предприниматель,женат/замужем,высшее,0,0,0,домашний,7,пт,2,999,0,-,0,7840
7841,31,самозанятый,не женат/не замужем,высшее,0,1,0,мобильный,11,пн,1,999,0,-,0,7841
7842,48,предприниматель,женат/замужем,высшее,0,0,0,мобильный,8,пт,1,999,0,-,0,7842
7843,30,техник/механик,женат/замужем,специальное,0,1,0,мобильный,8,чт,1,999,0,-,0,7843
7844,40,предприниматель,женат/замужем,неоконченное среднее,N/A,1,0,домашний,6,чт,6,999,0,-,0,7844
7845,35,рабочий,разведен,неоконченное среднее,0,0,0,домашний,6,пн,3,999,0,-,0,7845
7846,33,менеджмент,не женат/не замужем,высшее,0,0,0,мобильный,4,чт,3,999,1,0,0,7846
7847,23,учащийся,не женат/не замужем,среднее,0,1,0,мобильный,10,вт,3,999,0,-,0,7847
7848,52,сфера услуг,женат/замужем,среднее,0,1,0,домашний,6,чт,2,999,0,-,0,7848
7849,38,техник/механик,не женат/не замужем,специальное,0,1,0,домашний,5,пт,3,999,0,-,0,7849
7850,28,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,11,ср,1,999,1,0,1,7850
7851,39,администриратор,женат/замужем,высшее,0,1,0,домашний,6,вт,1,999,0,-,0,7851
7852,52,предприниматель,женат/замужем,высшее,0,1,0,мобильный,4,ср,1,999,2,0,0,7852
7853,48,сфера услуг,женат/замужем,среднее,N/A,N/A,N/A,домашний,5,чт,1,999,0,-,0,7853
7854,50,администриратор,женат/замужем,высшее,0,0,0,мобильный,11,чт,1,999,0,-,0,7854
7855,59,техник/механик,женат/замужем,N/A,0,1,0,домашний,5,пн,1,999,0,-,0,7855
7856,44,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,4,чт,1,999,0,-,0,7856
7857,23,администриратор,не женат/не замужем,среднее,0,1,0,мобильный,5,вт,1,10,1,1,0,7857
7858,52,техник/механик,женат/замужем,специальное,0,1,1,домашний,11,чт,2,999,1,0,0,7858
7859,43,администриратор,женат/замужем,среднее,0,1,0,домашний,6,пт,15,999,0,-,0,7859
7860,34,техник/механик,женат/замужем,высшее,0,0,0,мобильный,11,чт,1,999,0,-,0,7860
7861,38,техник/механик,не женат/не замужем,высшее,0,0,1,домашний,5,пн,1,999,0,-,0,7861
7862,42,администриратор,женат/замужем,неоконченное среднее,0,0,0,домашний,4,пн,3,999,1,0,0,7862
7863,32,рабочий,не женат/не замужем,неоконченное среднее,N/A,0,0,мобильный,7,пт,1,999,0,-,0,7863
7864,35,администриратор,женат/замужем,среднее,0,0,0,мобильный,5,чт,2,999,0,-,0,7864
7865,64,безработный,женат/замужем,неоконченное среднее,0,1,0,мобильный,11,вт,1,999,0,-,0,7865
7866,43,домохозяйка,женат/замужем,неоконченное среднее,N/A,0,0,домашний,5,чт,4,999,0,-,0,7866
7867,35,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,7,пн,3,999,0,-,0,7867
7868,42,менеджмент,женат/замужем,высшее,0,1,1,домашний,5,пт,1,999,0,-,0,7868
7869,44,техник/механик,разведен,среднее,0,0,0,мобильный,8,чт,3,999,0,-,0,7869
7870,44,техник/механик,женат/замужем,специальное,0,1,1,мобильный,5,вт,3,999,0,-,0,7870
7871,46,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,8,чт,4,999,0,-,0,7871
7872,32,администриратор,не женат/не замужем,среднее,0,1,0,мобильный,8,чт,2,999,0,-,0,7872
7873,51,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,8,пн,2,999,0,-,0,7873
7874,46,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,домашний,5,вт,4,999,0,-,0,7874
7875,40,администриратор,женат/замужем,высшее,0,0,0,мобильный,8,ср,5,999,0,-,0,7875
7876,42,администриратор,женат/замужем,неоконченное среднее,0,1,0,мобильный,4,вт,4,999,0,-,0,7876
7877,39,администриратор,женат/замужем,специальное,0,1,1,домашний,5,ср,1,999,0,-,0,7877
7878,28,сфера услуг,женат/замужем,среднее,0,0,1,домашний,7,вт,1,999,0,-,0,7878
7879,48,менеджмент,разведен,высшее,0,1,0,мобильный,11,ср,1,3,1,1,1,7879
7880,32,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,8,вт,2,999,0,-,0,7880
7881,35,администриратор,женат/замужем,высшее,0,1,0,мобильный,7,пн,5,999,0,-,0,7881
7882,30,администриратор,разведен,среднее,0,1,0,домашний,6,пт,4,999,0,-,0,7882
7883,36,администриратор,не женат/не замужем,высшее,0,0,0,домашний,5,вт,3,999,0,-,1,7883
7884,28,рабочий,не женат/не замужем,неоконченное среднее,0,0,0,домашний,5,пт,1,999,0,-,0,7884
7885,27,сфера услуг,не женат/не замужем,высшее,0,0,0,мобильный,7,ср,2,999,0,-,0,7885
7886,45,менеджмент,женат/замужем,высшее,0,1,0,домашний,5,чт,1,999,0,-,0,7886
7887,31,рабочий,не женат/не замужем,неоконченное среднее,0,1,0,мобильный,11,вт,2,999,0,-,0,7887
7888,39,администриратор,женат/замужем,среднее,0,1,0,мобильный,4,пн,2,999,0,-,0,7888
7889,54,техник/механик,разведен,высшее,0,1,0,мобильный,5,ср,2,999,1,0,0,7889
7890,38,сфера услуг,женат/замужем,среднее,N/A,1,0,домашний,5,пт,1,999,0,-,0,7890
7891,58,менеджмент,женат/замужем,высшее,0,0,0,мобильный,5,пн,1,999,1,0,0,7891
7892,34,сфера услуг,разведен,неоконченное среднее,N/A,0,1,домашний,5,пн,2,999,0,-,0,7892
7893,38,менеджмент,не женат/не замужем,высшее,0,0,0,домашний,7,ср,8,999,0,-,0,7893
7894,45,техник/механик,женат/замужем,специальное,N/A,1,0,мобильный,8,вт,5,999,0,-,0,7894
7895,48,предприниматель,женат/замужем,высшее,0,0,0,мобильный,4,вт,1,999,2,0,0,7895
7896,28,администриратор,не женат/не замужем,N/A,0,0,0,домашний,5,чт,2,999,0,-,0,7896
7897,56,техник/механик,женат/замужем,N/A,0,0,1,домашний,6,пт,4,999,0,-,1,7897
7898,43,администриратор,женат/замужем,среднее,0,1,0,мобильный,7,пн,28,999,0,-,0,7898
7899,56,рабочий,разведен,среднее,0,0,0,домашний,11,пт,1,999,0,-,0,7899
7900,31,техник/механик,женат/замужем,высшее,0,1,0,мобильный,5,пн,3,999,1,0,0,7900
7901,30,менеджмент,не женат/не замужем,высшее,0,0,0,мобильный,7,пн,2,999,0,-,0,7901
7902,50,самозанятый,женат/замужем,высшее,0,1,0,мобильный,8,чт,1,999,0,-,0,7902
7903,33,администриратор,не женат/не замужем,специальное,0,0,0,домашний,5,чт,3,999,0,-,0,7903
7904,34,рабочий,женат/замужем,неоконченное среднее,0,1,1,мобильный,7,вт,1,999,0,-,0,7904
7905,32,техник/механик,не женат/не замужем,высшее,0,1,0,мобильный,8,ср,5,999,0,-,0,7905
7906,43,сфера услуг,женат/замужем,неоконченное среднее,N/A,0,0,мобильный,7,пн,1,999,0,-,0,7906
7907,31,администриратор,женат/замужем,среднее,0,1,1,домашний,5,пн,2,999,0,-,0,7907
7908,47,администриратор,не женат/не замужем,высшее,0,0,0,мобильный,8,вт,1,999,0,-,0,7908
7909,36,сфера услуг,не женат/не замужем,специальное,0,1,0,мобильный,5,ср,1,999,0,-,0,7909
7910,26,сфера услуг,не женат/не замужем,среднее,0,0,0,мобильный,7,пн,1,999,0,-,0,7910
7911,52,администриратор,женат/замужем,высшее,N/A,0,1,мобильный,5,вт,3,999,0,-,0,7911
7912,56,техник/механик,женат/замужем,специальное,0,0,1,домашний,5,пт,1,999,0,-,0,7912
7913,48,сфера услуг,женат/замужем,неоконченное среднее,0,0,0,мобильный,7,ср,6,999,0,-,0,7913
7914,46,техник/механик,разведен,высшее,0,0,1,мобильный,7,пт,3,999,0,-,0,7914
7915,57,техник/механик,женат/замужем,высшее,0,0,0,мобильный,5,пн,6,999,1,0,0,7915
7916,30,рабочий,женат/замужем,неоконченное среднее,0,0,0,домашний,5,вт,2,999,0,-,0,7916
7917,55,техник/механик,женат/замужем,неоконченное среднее,0,1,0,домашний,6,чт,2,999,0,-,0,7917
7918,21,сфера услуг,не женат/не замужем,специальное,0,1,1,мобильный,6,вт,1,999,0,-,1,7918
7919,53,рабочий,женат/замужем,неоконченное среднее,0,0,0,домашний,5,вт,3,999,0,-,0,7919
7920,36,менеджмент,женат/замужем,высшее,0,0,1,домашний,6,пт,5,999,0,-,0,7920
7921,31,безработный,женат/замужем,неоконченное среднее,0,1,0,мобильный,5,пт,3,10,1,1,0,7921
7922,44,менеджмент,женат/замужем,высшее,0,0,0,мобильный,4,пн,2,999,0,-,0,7922
7923,37,администриратор,женат/замужем,высшее,0,0,0,мобильный,9,ср,2,6,2,1,1,7923
7924,32,администриратор,женат/замужем,среднее,0,1,0,мобильный,7,ср,1,999,0,-,0,7924
7925,55,предприниматель,женат/замужем,специальное,N/A,1,0,мобильный,7,пт,2,999,0,-,0,7925
7926,32,сфера услуг,не женат/не замужем,среднее,0,0,0,мобильный,5,пт,3,999,0,-,0,7926
7927,35,сфера услуг,женат/замужем,неоконченное среднее,0,0,0,мобильный,5,пн,2,3,2,1,1,7927
7928,29,рабочий,не женат/не замужем,неоконченное среднее,N/A,1,0,мобильный,5,пт,2,999,1,0,0,7928
7929,43,администриратор,разведен,среднее,0,1,0,мобильный,7,пн,2,999,0,-,0,7929
7930,37,менеджмент,женат/замужем,высшее,0,1,0,мобильный,11,пт,4,999,1,0,0,7930
7931,38,рабочий,женат/замужем,неоконченное среднее,N/A,0,0,мобильный,11,ср,3,999,0,-,0,7931
7932,35,рабочий,женат/замужем,неоконченное среднее,N/A,0,0,домашний,5,ср,2,999,0,-,0,7932
7933,34,сфера услуг,женат/замужем,среднее,0,0,0,домашний,6,вт,1,999,0,-,0,7933
7934,52,администриратор,женат/замужем,высшее,0,0,0,мобильный,8,пт,5,999,0,-,0,7934
7935,36,техник/механик,не женат/не замужем,специальное,0,0,0,мобильный,7,вт,4,999,0,-,0,7935
7936,41,рабочий,женат/замужем,неоконченное среднее,N/A,0,0,домашний,6,пт,3,999,0,-,0,7936
7937,46,администриратор,не женат/не замужем,высшее,0,0,0,мобильный,5,пн,1,999,0,-,0,7937
7938,33,рабочий,женат/замужем,неоконченное среднее,N/A,0,1,домашний,5,вт,3,999,0,-,0,7938
7939,46,рабочий,женат/замужем,среднее,0,0,0,мобильный,8,ср,2,999,0,-,0,7939
7940,32,рабочий,не женат/не замужем,среднее,0,0,0,мобильный,6,пн,1,2,2,1,1,7940
7941,31,администриратор,разведен,высшее,0,1,0,мобильный,8,вт,1,999,0,-,0,7941
7942,47,предприниматель,женат/замужем,высшее,0,0,0,мобильный,4,вт,3,999,0,-,0,7942
7943,36,рабочий,женат/замужем,неоконченное среднее,0,1,0,домашний,5,пн,1,999,1,0,0,7943
7944,44,администриратор,разведен,среднее,0,1,0,мобильный,5,пн,4,999,0,-,0,7944
7945,45,администриратор,женат/замужем,высшее,0,0,0,мобильный,8,вт,1,999,0,-,1,7945
7946,44,менеджмент,женат/замужем,среднее,N/A,1,0,мобильный,7,пн,1,999,0,-,0,7946
7947,30,техник/механик,женат/замужем,среднее,0,0,0,домашний,6,пт,6,999,0,-,0,7947
7948,47,техник/механик,женат/замужем,среднее,N/A,0,0,мобильный,4,пн,2,999,1,0,0,7948
7949,33,администриратор,женат/замужем,высшее,0,0,0,домашний,5,пт,2,999,0,-,0,7949
7950,42,администриратор,женат/замужем,высшее,0,1,0,домашний,5,вт,3,999,0,-,0,7950
7951,42,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,7,чт,3,999,0,-,0,7951
7952,38,менеджмент,не женат/не замужем,высшее,0,0,0,мобильный,5,ср,2,999,0,-,0,7952
7953,37,менеджмент,женат/замужем,высшее,N/A,0,0,мобильный,8,пн,1,999,0,-,0,7953
7954,43,техник/механик,женат/замужем,специальное,0,0,0,мобильный,5,вт,1,999,1,0,1,7954
7955,41,домохозяйка,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,8,вт,1,999,0,-,0,7955
7956,50,сфера услуг,не женат/не замужем,среднее,0,0,0,мобильный,7,ср,7,999,0,-,0,7956
7957,56,пенсионер,разведен,неоконченное среднее,N/A,0,0,домашний,6,пт,4,999,0,-,0,7957
7958,39,сфера услуг,женат/замужем,специальное,0,1,0,мобильный,7,пн,2,999,0,-,1,7958
7959,58,пенсионер,женат/замужем,специальное,0,0,0,мобильный,11,пн,1,999,0,-,0,7959
7960,44,администриратор,женат/замужем,высшее,0,0,0,мобильный,4,вт,1,999,0,-,1,7960
7961,37,сфера услуг,не женат/не замужем,среднее,0,1,0,мобильный,11,ср,1,999,0,-,1,7961
7962,35,администриратор,разведен,высшее,0,1,0,домашний,6,пн,2,999,0,-,0,7962
7963,33,менеджмент,не женат/не замужем,высшее,0,0,0,мобильный,10,вт,3,999,0,-,0,7963
7964,31,самозанятый,не женат/не замужем,среднее,0,0,0,мобильный,7,чт,3,999,0,-,0,7964
7965,43,предприниматель,разведен,среднее,0,1,0,домашний,5,ср,1,999,0,-,0,7965
7966,31,менеджмент,женат/замужем,высшее,0,0,0,мобильный,8,чт,2,999,0,-,0,7966
7967,36,техник/механик,разведен,специальное,0,0,0,мобильный,4,пн,2,999,0,-,0,7967
7968,32,администриратор,разведен,среднее,0,0,0,мобильный,5,пт,1,999,0,-,0,7968
7969,28,учащийся,не женат/не замужем,неоконченное среднее,N/A,1,0,домашний,5,вт,2,999,0,-,0,7969
7970,31,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,11,пт,3,999,0,-,0,7970
7971,44,предприниматель,женат/замужем,высшее,0,0,0,мобильный,11,пт,2,999,0,-,0,7971
7972,31,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,8,пн,5,999,0,-,0,7972
7973,38,техник/механик,не женат/не замужем,высшее,0,1,0,мобильный,7,чт,1,999,0,-,0,7973
7974,29,техник/механик,не женат/не замужем,среднее,0,1,0,мобильный,8,вт,1,999,0,-,0,7974
7975,34,рабочий,женат/замужем,неоконченное среднее,N/A,0,0,домашний,6,пн,3,999,0,-,0,7975
7976,38,техник/механик,не женат/не замужем,специальное,0,1,0,мобильный,5,пн,3,999,1,0,0,7976
7977,30,рабочий,женат/замужем,неоконченное среднее,0,1,1,мобильный,11,вт,1,999,0,-,0,7977
7978,33,администриратор,женат/замужем,среднее,0,0,0,мобильный,8,чт,1,999,1,0,0,7978
7979,30,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,8,пн,1,999,0,-,0,7979
7980,53,менеджмент,женат/замужем,высшее,0,0,0,мобильный,7,чт,2,999,0,-,0,7980
7981,49,техник/механик,не женат/не замужем,высшее,N/A,0,0,домашний,7,пн,1,999,0,-,0,7981
7982,31,менеджмент,женат/замужем,высшее,0,1,0,мобильный,11,чт,2,999,0,-,0,7982
7983,55,администриратор,женат/замужем,среднее,0,0,0,домашний,5,чт,2,999,0,-,0,7983
7984,39,техник/механик,женат/замужем,специальное,0,0,1,домашний,5,пт,2,999,0,-,0,7984
7985,59,рабочий,женат/замужем,неоконченное среднее,N/A,N/A,N/A,мобильный,7,пн,4,999,0,-,0,7985
7986,31,менеджмент,женат/замужем,высшее,0,1,1,домашний,5,вт,2,999,0,-,0,7986
7987,49,техник/механик,разведен,N/A,0,0,0,мобильный,10,вт,1,999,2,0,0,7987
7988,31,техник/механик,женат/замужем,высшее,0,1,0,мобильный,5,пн,1,999,0,-,0,7988
7989,36,безработный,женат/замужем,неоконченное среднее,0,1,0,мобильный,11,пн,1,999,0,-,0,7989
7990,25,учащийся,женат/замужем,высшее,0,0,0,мобильный,6,пт,1,999,0,-,1,7990
7991,32,администриратор,не женат/не замужем,высшее,0,1,0,мобильный,4,вт,2,999,0,-,1,7991
7992,32,рабочий,женат/замужем,неоконченное среднее,0,0,0,домашний,5,пт,1,999,0,-,0,7992
7993,41,менеджмент,не женат/не замужем,неоконченное среднее,0,0,0,мобильный,5,чт,1,999,1,0,0,7993
7994,78,пенсионер,разведен,N/A,0,0,0,мобильный,6,вт,4,999,0,-,1,7994
7995,36,самозанятый,женат/замужем,специальное,N/A,0,1,мобильный,7,пн,5,999,0,-,0,7995
7996,59,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,8,чт,2,999,0,-,0,7996
7997,44,менеджмент,женат/замужем,среднее,N/A,1,0,мобильный,8,пт,1,999,0,-,0,7997
7998,41,администриратор,женат/замужем,среднее,0,1,1,мобильный,5,пн,1,999,0,-,0,7998
7999,33,администриратор,не женат/не замужем,высшее,0,0,1,домашний,6,пт,4,999,0,-,0,7999
8000,39,техник/механик,женат/замужем,высшее,N/A,0,0,мобильный,8,пт,1,999,0,-,0,8000
8001,48,техник/механик,женат/замужем,неоконченное среднее,0,0,0,мобильный,7,вт,5,999,0,-,0,8001
8002,45,администриратор,разведен,высшее,0,1,0,мобильный,8,пн,2,999,0,-,0,8002
8003,31,администриратор,не женат/не замужем,среднее,0,N/A,N/A,мобильный,6,вт,1,999,0,-,0,8003
8004,58,безработный,женат/замужем,специальное,N/A,1,0,мобильный,8,вт,3,999,0,-,0,8004
8005,35,администриратор,не женат/не замужем,высшее,0,1,1,мобильный,5,пн,2,999,0,-,0,8005
8006,39,администриратор,не женат/не замужем,N/A,0,0,0,мобильный,11,пт,2,999,1,0,1,8006
8007,55,администриратор,женат/замужем,среднее,0,0,0,мобильный,4,чт,2,999,0,-,0,8007
8008,20,учащийся,не женат/не замужем,среднее,0,0,0,мобильный,7,ср,1,999,0,-,0,8008
8009,44,рабочий,женат/замужем,неоконченное среднее,N/A,1,0,мобильный,7,пн,2,999,0,-,0,8009
8010,46,рабочий,женат/замужем,N/A,N/A,0,0,домашний,5,пт,1,999,0,-,0,8010
8011,64,пенсионер,женат/замужем,N/A,0,1,1,мобильный,8,пт,1,999,1,0,0,8011
8012,46,сфера услуг,женат/замужем,N/A,N/A,0,0,мобильный,8,пн,2,999,0,-,0,8012
8013,39,рабочий,женат/замужем,неоконченное среднее,0,0,0,мобильный,7,чт,2,999,0,-,0,8013
8014,32,техник/механик,разведен,специальное,0,0,1,мобильный,5,пт,1,999,0,-,0,8014
8015,53,рабочий,женат/замужем,N/A,0,1,0,мобильный,8,ср,3,999,0,-,0,8015
8016,48,администриратор,женат/замужем,высшее,0,1,0,мобильный,11,ср,2,999,1,0,0,8016
8017,32,техник/механик,не женат/не замужем,специальное,0,0,0,домашний,5,пн,1,999,0,-,0,8017
8018,56,самозанятый,женат/замужем,специальное,0,0,1,домашний,6,пт,40,999,0,-,0,8018
8019,47,сфера услуг,женат/замужем,среднее,0,0,1,мобильный,5,пт,2,999,2,0,0,8019
8020,29,администриратор,женат/замужем,высшее,N/A,0,1,мобильный,7,вт,1,999,0,-,0,8020
8021,27,администриратор,женат/замужем,высшее,0,0,0,домашний,5,ср,5,999,0,-,0,8021
8022,26,рабочий,не женат/не замужем,высшее,0,1,0,мобильный,5,чт,2,999,0,-,1,8022
8023,37,сфера услуг,женат/замужем,среднее,N/A,1,0,домашний,5,ср,5,999,0,-,0,8023
8024,45,рабочий,разведен,неоконченное среднее,0,N/A,N/A,домашний,5,пт,1,999,0,-,0,8024
8025,42,домохозяйка,не женат/не замужем,неоконченное среднее,N/A,1,0,домашний,5,чт,1,999,0,-,0,8025
8026,42,рабочий,женат/замужем,неоконченное среднее,0,1,0,мобильный,5,ср,1,999,1,0,0,8026
8027,41,предприниматель,женат/замужем,среднее,0,1,0,мобильный,11,чт,2,999,0,-,0,8027
